sentence,label,idx
one terrific score and attitude to spare ,1,19869
violent and ,0,35197
works better in the conception than it does in the execution ... winds up seeming just a little too clever ,0,36464
"with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography ",0,8197
the action looks fake ,0,67305
"demme gets a lot of flavor and spice into his charade remake , but ",1,24781
skip this turd ,0,13252
no teeth ,0,44083
"even with its $ 50-million us budget , pinocchio never quite achieves the feel of a fanciful motion picture . ",0,29934
"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship . ",1,20702
"( johnnie to and wai ka fai are ) sure to find an enthusiastic audience among american action-adventure buffs , but the film 's interests may be too narrow to attract crossover viewers . ",0,50089
illogical ,0,7876
what begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters . ,1,5011
"a sad , sordid universe ",0,36118
"the horizons of boredom to the point of collapse , turning into a black hole of dullness , from which no interesting concept can escape ",0,9266
"matters because both are just actory concoctions , defined by childlike dimness and a handful of quirks . ",0,64769
comparatively sane and healthy ,1,25316
like having two guys yelling in your face for two hours ,0,12691
brutally dry satire ,0,40303
modest amusements ,1,9375
there was ever a movie where the upbeat ending feels like a copout ,0,21549
energetic and sweetly ,1,31310
"lots of boring talking heads , etc . ",0,6936
a lazy exercise ,0,42127
a class with spike lee 's masterful ,1,5875
seldom hammy ,1,65008
take place indoors in formal settings with motionless characters . ,0,28146
frank capra 's classic ,1,51416
it 's refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original . ,1,6985
"a pathetic exploitation film that tries to seem sincere , and just seems worse for the effort . ",0,2903
altered ,1,42428
"lisa rinzler 's cinematography may be lovely , but love liza 's tale itself virtually collapses into an inhalant blackout , maintaining consciousness just long enough to achieve callow pretension ",0,40662
"i heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign ",0,67213
"approaches his difficult , endless work with remarkable serenity and discipline ",1,45484
"even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st century ",1,56262
has never been smoother or more confident . ,1,11762
tolerable-to-adults ,0,36437
"mostly , shafer and co-writer gregory hinton lack a strong-minded viewpoint , or a sense of humor . ",0,22952
"this is rote spookiness , with nary an original idea ( or role , or edit , or score , or anything , really ) in sight , and the whole of the proceedings beg the question ` why ? ",0,14521
the disjointed feel of a bunch of strung-together tv episodes . ,0,12456
such a big job ,1,10925
"is the performance of gedeck , who makes martha enormously endearing ",1,7298
that both thrills the eye and ,1,22083
it belongs on the big screen ,1,13723
"ambitious , sometimes beautiful adaptation ",1,35811
rated eee for excitement . ,1,3944
"a bizarre piece of work , with premise and dialogue at the level of kids ' television and plot threads as morose as teen pregnancy , rape and suspected murder ",0,44178
", there is n't much there here . ",0,33233
that disconnects every 10 seconds ,0,66776
a fairly irresistible package ,1,41166
you can fire a torpedo through some of clancy 's holes ,0,64684
unintentional melodrama and tiresome love triangles ,0,25026
that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,20920
"the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart ",1,14514
twice as bestial but half as funny ,0,22317
humor ,1,33036
feeble comedy . ,0,431
great marching bands ,1,49039
has no point and goes nowhere ,0,20458
it 's the very definition of epic adventure . ,1,24621
is like seeing a series of perfect black pearls clicking together to form a string . ,1,34038
"bring a heart and reality that buoy the film , and at times , elevate it to a superior crime movie . ",1,57841
the dullest science fiction ,0,61868
humdrum ,0,58476
sometimes hilarious ) ,1,16094
the human race splitting in two ,0,20489
give credit to everyone from robinson down to the key grip ,1,32907
nearly all the fundamentals you take for granted in most films are mishandled here . ,0,3292
perfectly clear ,1,18813
snobbery ,0,19719
"instead of making his own style , director marcus adams just copies from various sources -- good sources , bad mixture ",0,18194
a remarkable and novel ,1,46007
a movie that understands characters must come first ,1,23314
", this quietly lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food . ",1,8620
incoherence ,0,14111
pulling on heartstrings ,1,46495
seen in that light ,1,64516
natured ,1,19791
wazoo and sets ,0,30606
its one-sidedness ,0,1097
for dance completists only . ,0,62618
septic tank ,0,48216
"a cold , calculated exercise ",0,9169
its oh-so-hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism ,1,33850
"brave , uninhibited performances ",1,18215
intimidated by both her subject matter ,0,51963
"has elements of romance , tragedy and even silent-movie comedy . ",1,29792
's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding ,0,58824
perfect for the proud warrior that still lingers in the souls of these characters ,1,2349
", does not work . ",0,35683
"the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian ",1,21476
a strict reality ,1,64705
a fascinating glimpse of urban life and ,1,53650
absolutely and completely ridiculous and ,0,144
looking for astute observations and coming up blank ,0,44546
fling gags at it ,0,23188
"crisp framing , ",1,55537
wears out her welcome in her most charmless performance ,0,25826
"i found it slow , predictable and not very amusing . ",0,41088
that efforts toward closure only open new wounds ,0,48417
the fact that virtually no one is bound to show up at theaters for it ,0,20904
're left with a sour taste in your mouth ,0,5711
it 's not clear whether we 're supposed to shriek ,0,64994
a great performance and a reminder of dickens ' grandeur ,1,57179
would know what to make of this italian freakshow ,0,65357
his clamorous approach ,0,42254
the worst sin ,0,44893
has a few nice twists in a standard plot and the charisma of hugh grant and sandra bullock . ,1,12950
a wholesome fantasy ,1,35153
essentially ruined -- or ,0,58181
a fun adventure movie ,1,16311
"come away from his film overwhelmed , hopeful and , perhaps paradoxically , illuminated ",1,28479
with passionate enthusiasms like martin scorsese ,1,35669
stand tall ,1,39468
"jagger , stoppard and director michael apted ... deliver a riveting and surprisingly romantic ride . ",1,48227
drown out ,0,12653
"my friend david cross would call it , ` hungry-man portions of bad ' ",0,37281
has no point and ,0,4639
"figures prominently in this movie , and ",1,25873
", you will enjoy seeing how both evolve ",1,26242
strange and beautiful film . ,1,3242
"full of detail about the man and his country , and is well worth seeing . ",1,22756
devastated ,0,52906
both deserve better . ,0,66781
30 seconds of plot ,0,3031
if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor ,0,61271
gives the lie to many clichés and showcases a group of dedicated artists ,1,39336
spends a bit too much time ,0,44060
"if it is n't entirely persuasive , it does give exposure to some talented performers ",1,212
of one unstable man ,1,60858
directed the film from the back of a taxicab ,0,37025
a potentially good comic premise and excellent cast are terribly wasted . ,0,25263
clunky on the screen ,0,45673
ill-advised and poorly ,0,58960
as a reverie about memory and regret ,1,8506
"'s hard to figure the depth of these two literary figures , and even the times in which they lived . ",0,64326
"'s affecting , amusing , sad and reflective . ",1,63986
sloppily ,0,21821
"random , superficial humor ",0,49484
dead-end distaste ,0,15597
that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture ,1,33568
confusing on one level or another ,0,54112
went over my head or -- considering just ,0,51379
an insane comic undertaking ,1,63577
"destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage ",0,28862
stylistic austerity and forcefulness ,1,46267
"the crackle of lines , the impressive stagings of hardware ",1,43040
"i found the ring moderately absorbing , largely for its elegantly colorful look and sound . ",1,63929
shabby script ,0,50777
already mentioned ,0,28622
clueless and inept ,0,16055
laughs and insight into one of the toughest ages a kid can go through . ,1,35928
intriguing ,1,52767
gives ample opportunity for large-scale action and suspense ,1,35686
... built on the premise that middle-class arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from tv reruns and supermarket tabloids . ,0,54692
limited and so embellished by editing that there 's really not much of a sense of action ,0,54750
"its courage , ideas , technical proficiency and ",1,7270
define a generation ,1,12590
appetizing ,1,18551
"a remarkably cohesive whole , ",1,19101
"'s a fairly impressive debut from the director , charles stone iii ",1,64947
wrong with a comedy where the only belly laughs come from the selection of outtakes tacked onto the end credits ,0,54826
makes the grade as tawdry trash ,0,34649
the level of marginal competence ,0,45471
also captures moments of spontaneous creativity and authentic co-operative interaction ,1,17291
"no solace here , no entertainment value , merely a fierce lesson in where filmmaking can take us ",0,5246
macaroni and cheese ,0,58831
to spoof both black and white stereotypes equally ,1,31883
die-hard french film connoisseurs ,1,8972
too long and bogs down in a surfeit of characters and unnecessary subplots ,0,23975
limp biscuit ,0,33917
that expands into a meditation on the deep deceptions of innocence ,1,53326
"has the air of a surprisingly juvenile lark , a pop-influenced prank whose charms are immediately apparent and wear thin with repetition . ",0,13131
plays like an extended dialogue exercise in retard 101 ,0,45770
terrific ,1,10308
lovably ,1,16750
upstaged by an avalanche of more appealing holiday-season product ,1,14154
bounces ,1,57468
an old-fashioned nature film that educates viewers with words and pictures while entertaining them ,1,8836
they find new routes through a familiar neighborhood ,1,33176
"made to be jaglomized is the cannes film festival , the annual riviera spree of flesh , buzz , blab and money . ",0,8613
extraordinary journalism ,1,36802
"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances ",1,701
makes it a party worth attending ,1,65324
harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore . ,0,47932
a 90-minute movie that feels five hours long ,0,61530
( and beautifully edited ) ,1,20568
"the intimate , unguarded moments of folks who live in unusual homes -- which pop up in nearly every corner of the country ",1,66539
goes down easy ,0,28909
"a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability ",1,13431
charming ,1,39204
"twenty-three movies into a mostly magnificent directorial career , clint eastwood 's efficiently minimalist style ",1,33091
radiates star-power potential in this remarkable and memorable film ,1,52578
"the biggest is that secret ballot is a comedy , both gentle and biting . ",1,10305
"change watching such a character , ",0,6778
"in anything ever , and easily the most watchable film of the year ",1,38421
signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . ,0,14529
deep or substantial ,1,17377
"'s not enough intelligence , wit or innovation on the screen to attract and sustain an older crowd . ",0,24492
warped logic by writer-director kurt wimmer at the screenplay level ,0,33219
the film itself is small and shriveled ,0,7786
"a predictable , manipulative stinker ",0,49610
an indispensable peek at the art and the agony of making people ,1,5073
"a low , smoky and inviting sizzle ",1,65622
felt emotions can draw people together across the walls that might otherwise separate them ,1,60046
admire ... ,1,37351
nothing overly original ,0,44008
"nicole holofcenter , the insightful writer/director responsible for this illuminating comedy does n't wrap the proceedings up neatly ",1,48776
jolts the laughs ,1,6675
incredible storyline ,1,43143
"a family of five blind , crippled , amish people alive in this situation ",0,63346
has crafted here a worldly-wise and very funny script . ,1,49845
marvelous documentary touches ,1,22561
die for ,1,24270
a chore to sit through -- despite some first-rate performances by its lead ,0,4157
right down the reality drain ,0,50125
collision ,0,55200
"home movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it . ",1,21945
"... a low rate annie featuring some kid who ca n't act , only echoes of jordan , and weirdo actor crispin glover screwing things up old school . ",0,31458
markedly inactive ,0,63807
undistinguished ,0,33777
"to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies ",0,33533
"extended , open-ended poem ",1,22171
unimpeachable ,0,63401
an ambitious ` what if ? ' ,1,23278
the horror ,0,222
"this charming , thought-provoking new york fest ",1,59184
"this is a truly , truly bad movie . ",0,6802
to occasionally break up the live-action scenes with animated sequences ,1,52367
"a horrible , 99-minute ",0,10344
"goldmember has none of the visual wit of the previous pictures , ",0,47338
runs 163 minutes ,0,43594
"of the intelligent , well-made b movie ",1,24216
"as the filmmakers look down on their working-class subjects from their lofty perch , that finally makes sex with strangers , which opens today in the new york metropolitan area , so distasteful ",0,18844
is that it is one that allows him to churn out one mediocre movie after another ,0,53174
overly familiar ,0,42956
a hallucinatory dreamscape that frustrates and captivates ,1,7713
"the half-lit , sometimes creepy intimacy of college dorm rooms , a subtlety that makes the silly , over-the-top coda especially disappointing ",0,36562
to the world trade center tragedy ,0,38683
"nurtures the multi-layers of its characters , ",1,42970
marks a modest if encouraging return to form ,1,23604
crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy ,1,10359
"of those crazy , mixed-up films that does n't know what it wants to be when it grows up ",0,10029
hard to resist his enthusiasm ,1,57894
neil burger here succeeded in ... making the mystery of four decades back the springboard for a more immediate mystery in the present ,1,48501
capture its visual appeal or its atmosphere ,1,18002
choppy and sloppy affair ,0,20849
falls far short ,0,3601
it just zings along with vibrance and warmth . ,1,48693
a comedy ,1,6199
